id;name;url_address;explanation;type;created_date
1;reinvent Total;Account Internal;Assimilated Silver Sleek;LAST;2022-11-11
2;SDD;attitude-oriented up Savings;turquoise ROI architectures;LAST;2022-11-10
3;Baby;Island;human-resource;PROMOTED;2022-11-11
4;Hollow;Wooden;Borders;LAST;2022-11-11
5;Computers fault-tolerant;Gloves;global withdrawal Fantastic;PROMOTED;2022-11-11
6;Algeria hub;Berkshire;Dollar Data Minnesota;PROMOTED;2022-11-11
7;Brook;loyalty;Stream invoice Tuna;LAST;2022-11-11
8;Awesome panel;Avon conglomeration;Tools set;NORMAL;2022-11-10
9;synergize;red alarm RAM;system Re-engineered Chair;FIRST;2022-11-11
10;Berkshire reboot;Metrics;red;PROMOTED;2022-11-11
